section,label,url,icon_type,icon_value
Main,Drive,https://drive.google.com,simpleicons,googledrive
Main,YouTube,https://youtube.com,simpleicons,youtube
Main,Sniffies,https://sniffies.com,url,https://ryanc.vercel.app/sniffies.svg
Main,Hacker News,https://news.ycombinator.com,simpleicons,ycombinator
Main,Brutalist Report,https://brutalist.report,local,brutalist-report-icon.svg
Main,Plex,https://app.plex.tv,local,plex-icon.svg
Main,Claude,https://claude.ai/new,simpleicons,claude
Main,ChatGPT,https://chatgpt.com,local,chatgpt-icon.svg
Main,Gemini,https://gemini.google.com/app,simpleicons,googlegemini
Main,Gmail,https://mail.google.com,simpleicons,gmail
Main,Fastmail,https://fastmail.com,inline,[envelope SVG]
Main,Google Voice,https://voice.google.com,local,google-voice-icon.svg
Networking,Speed Test,https://speed.cloudflare.com,local,cloudflare-speed-icon.svg
Networking,NextDNS,https://my.nextdns.io/8584eb/logs,simpleicons,nextdns
Networking,WiFiMan,https://wifiman.com/,simpleicons,ubiquiti
Networking,Vercel,https://vercel.com/ryanchavezzz,simpleicons,vercel
Networking,Oracle Cloud,https://www.oracle.com/cloud/sign-in.html,inline,[Oracle pill SVG]
Utilities,FilePizza,https://file.pizza/,local,filepizza-icon.svg
Files & Sharing,url.town,https://url.town/,inline,[link SVG]
Resources,TRaSH Guides,https://trash-guides.info/,favicon,trash-guides.info
Resources,Dashboard Icons,https://dashboardicons.com,inline,[dashboard icons SVG]
Resources,Custom Brand Icons,https://elax46.github.io/custom-brand-icons/,local,custom-brand-icons-icon.svg
Whatbox,Whatbox,https://whatbox.ca/manage,local,whatbox-icon.svg
Whatbox,Flood,http://flood.rchvz.dev,local,flood-icon.svg
Whatbox,Jackett,http://jackett.rchvz.dev,si,jackett-icon.svg
Whatbox,ruTorrent,http://rtorrent.rchvz.dev,local,rutorrent-icon.svg
Whatbox,Plex (direct),https://72-21-17-113.1d11c9457b33442c90f4c6872b0ff1b1.plex.direct:15914/web/index.html#!/settings/web/general,si,plex-icon.svg
Whatbox,Wiki,https://whatbox.ca/wiki,si,whatbox-wiki-icon.svg
